Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
6383af50-c8f6-0c22-1dd4-6ee2be572cb1,2023-04-26,,999-28-4653,,,,Agnus790,,Shields502,,,,white,nonhispanic,F,Auburn  Massachusetts  US,851 Hayes Port,Wakefield,Massachusetts,Middlesex County,25017,01880,42.540962455867785,-71.09499698412891,7415.66,0.00,468300
b23941a4-269e-2ac4-8ced-75d1ac8b1b1d,2015-04-29,,999-56-8666,,,,Maritza144,Alaine226,Wilderman619,,,,white,nonhispanic,F,Adams  Massachusetts  US,456 Erdman Crossroad,Marion,Massachusetts,Plymouth County,,00000,41.68974931768348,-70.72408273808081,28794.64,0.00,110497
5e236a28-42bb-348c-3267-03ed1a052b40,1981-05-06,,999-63-2994,S99949034,X15329517X,Mrs.,Candra395,Yolonda722,Stamm704,,Jacobson885,M,white,hispanic,F,Chicopee  Massachusetts  US,860 Stiedemann Trafficway,Attleboro,Massachusetts,Bristol County,44007,02861,41.89466407585914,-71.25905004002594,374752.86,51221.77,55938
1290bba5-c164-4273-9694-c3ce92270ef2,1967-07-10,,999-72-4091,S99923766,X19183901X,Mrs.,Flor713,Zulema784,Gutkowski940,,Corkery305,M,white,nonhispanic,F,Boston  Massachusetts  US,758 Schultz Estate,Shrewsbury,Massachusetts,Worcester County,,00000,42.28330506680264,-71.72256773530418,296763.20,32515.01,94139
3bc81e09-7091-bc59-a58a-39b485d9e48b,1993-04-30,,999-13-2780,S99922825,X69589834X,Mr.,Rhett759,Stanton715,Hoeger474,,,S,asian,nonhispanic,M,Lawrence  Massachusetts  US,128 O'Connell Junction,Natick,Massachusetts,Middlesex County,,00000,42.25542107473141,-71.37390322844767,68681.73,232.94,104315
d998bd61-bed8-3eb5-dcb5-297579cf936f,1984-09-28,,999-93-9174,S99937515,X8388544X,Mr.,Deandre599,Jefferey580,Braun514,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,101 Dietrich Divide Unit 74,Billerica,Massachusetts,Middlesex County,,00000,42.512682772444826,-71.25270803119791,115647.06,17862.17,57599
6367a5b3-1689-57b4-634f-693bb600e552,2010-05-06,,999-86-2511,S99943544,,,Ismael683,Julius90,Wuckert783,,,,white,nonhispanic,M,Yarmouth  Massachusetts  US,1076 West Passage Apt 83,Lynnfield,Massachusetts,Essex County,25009,01940,42.502884681732844,-71.0098027258346,3154.19,55079.99,17949
21b4ddc5-081e-1ecd-3573-f2ea42677b66,2020-01-05,,999-86-1830,,,,Ching589,,Conn188,,,,white,nonhispanic,F,Gardner  Massachusetts  US,940 Little Lane Apt 42,Marshfield,Massachusetts,Plymouth County,25023,02050,42.14784388844941,-70.7173012892986,7229.44,18653.62,185904
a2ff83e0-2cc0-50a4-b008-52a1add72ced,1977-02-25,,999-98-2865,S99979318,X79447208X,Mrs.,Jan231,Brian582,Hartmann983,,Bechtelar572,M,white,nonhispanic,F,Hingham  Massachusetts  US,484 Kiehn Port,Wilmington,Massachusetts,Middlesex County,25017,01887,42.578643388672546,-71.17336635210526,390571.50,562743.70,68110
d5d8b210-bca5-a9ce-0711-3d09468bfe47,1968-10-23,,999-90-2436,S99991393,X5893463X,Mrs.,Adele475,Yolanda648,Padberg411,,Hettinger594,D,white,nonhispanic,F,Newton  Massachusetts  US,967 Nikolaus Trail,Lynn,Massachusetts,Essex County,25009,01901,42.435439116647764,-70.91976444115943,293890.66,310026.42,38809
